,Unnamed: 0,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude,nearest_hospital_distance
106,106,250000,4,Semi-Detached,1,0,51.2888046721069,-2.81942874038833,0.019560444039188444
107,107,298500,4,Terraced,1,0,51.287533512732,-2.81732682414252,0.01745110200346957
108,108,230000,4,Detached,1,0,51.28562466821701,-2.82026116477877,0.020390331125812233
109,109,327500,4,Detached,1,0,51.2877990331569,-2.81017589126394,0.010303029032802948
110,110,230000,5,Terraced,1,0,51.286797580899496,-2.8222609415757995,0.022396968743133572
111,111,410000,7,Detached,1,0,51.2864245386288,-2.81387997959378,0.01400868561043913
112,112,152000,2,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
113,113,235000,3,Semi-Detached,1,0,51.288001747725716,-2.814496,0.014622637741194301
114,114,240000,3,Detached,1,0,51.3285940062621,-2.8789554461072897,0.007746313802211254
115,115,284000,4,Semi-Detached,1,0,51.328217955469896,-2.86910235071176,0.002153693261710269
116,116,255000,4,Semi-Detached,1,0,51.329140164783794,-2.8768703650129903,0.005760717266801133
117,117,124500,3,Flat,0,0,51.3286673787035,-2.866526,0.004767976064343916
118,118,370000,4,Detached,1,0,51.330544,-2.874486,0.0036512399094320966
119,119,245000,2,Detached,1,0,51.3273490526284,-2.86865534948904,0.00264741920295553
120,120,199000,2,Semi-Detached,1,0,51.3278678934239,-2.87625763793483,0.005020798664948146
121,121,225000,2,Terraced,1,0,51.330544,-2.874486,0.0036512399094320966
122,122,205000,2,Detached,1,0,51.328217955469896,-2.86910235071176,0.002153693261710269
123,123,250000,2,Detached,1,0,51.328813095712995,-2.8761177782024103,0.004958994409924055
124,124,250000,3,Semi-Detached,1,0,51.327087345588595,-2.873616290049529,0.002525266545531633
125,125,665000,3,Detached,1,0,51.3239645464734,-2.86183192985904,0.0034794541201694867
126,126,255000,2,Detached,1,0,51.328813095712995,-2.8761177782024103,0.004958994409924055
127,127,240000,4,Semi-Detached,1,0,51.3286644772258,-2.87795209978514,0.006754409042084554
128,128,235000,2,Semi-Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
129,129,458000,5,Semi-Detached,1,0,51.327087345588595,-2.873616290049529,0.002525266545531633
130,130,188500,0,Semi-Detached,1,0,51.32856063984701,-2.8738021749943594,0.0026402730821393906
131,131,440000,4,Detached,1,0,51.332959,-2.8652729999999997,0.006011056736928172
132,132,186000,2,Semi-Detached,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
133,133,194000,2,Semi-Detached,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
134,134,349750,4,Detached,1,0,51.329924,-2.8708,0.0020372179220649834
135,135,210000,3,Terraced,1,0,51.327087345588595,-2.873616290049529,0.002525266545531633
136,136,192000,2,Semi-Detached,1,0,51.329140164783794,-2.8768703650129903,0.005760717266801133
137,137,590000,3,Detached,1,0,51.338045282899714,-2.88005501314785,0.008887076723462345
138,138,110000,2,Detached,1,0,51.330544,-2.874486,0.0036512399094320966
139,139,331000,3,Detached,1,0,51.3302130724019,-2.87046057958409,0.0021431612848519343
140,140,217500,2,Detached,1,0,51.32684030781421,-2.86814340766658,0.003281581351775027
141,141,183000,3,Semi-Detached,1,0,51.3286673787035,-2.866526,0.004767976064343916
142,142,250000,3,Semi-Detached,1,0,51.328813095712995,-2.8761177782024103,0.004958994409924055
143,143,303000,3,Detached,1,0,51.330544,-2.874486,0.0036512399094320966
144,144,293000,2,Detached,1,0,51.3266562781024,-2.86991959672234,0.0017402321496880356
145,145,230000,4,Semi-Detached,1,0,51.3279509899827,-2.8662985570006,0.004938749303058963
146,146,337000,3,Terraced,1,0,51.33192968640621,-2.86328749686282,0.00467767649364269
147,147,135000,3,Flat,0,0,51.3286673787035,-2.866526,0.004767976064343916
148,148,190000,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
149,149,375000,4,Detached,1,0,51.3302130724019,-2.87046057958409,0.0021431612848519343
150,150,240000,3,Detached,1,0,51.330544,-2.874486,0.0036512399094320966
151,151,515000,4,Detached,1,0,51.327678000000006,-2.886114,0.009136338853015617
152,152,187500,2,Semi-Detached,1,0,51.327963052731285,-2.8707337207781203,0.000504379406615525
153,153,525000,4,Detached,1,0,51.3277807278942,-2.86134374071202,0.002729802539352176
154,154,292500,3,Detached,1,0,51.3276802575678,-2.8700681500731897,0.0011964029080338352
155,155,176000,2,Semi-Detached,1,0,51.327963052731285,-2.8707337207781203,0.000504379406615525
156,156,175000,2,Semi-Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
157,157,108000,3,Semi-Detached,1,0,51.3272344000256,-2.87198292059829,0.001022640739008355
158,158,205000,2,Semi-Detached,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
159,159,229950,2,Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
160,160,150000,2,Semi-Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
161,161,280000,3,Detached,1,0,51.329670562010705,-2.87327786100527,0.00267931071337059
162,162,215000,2,Semi-Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
163,163,124999,4,Semi-Detached,1,0,51.327362,-2.87438745729038,0.0032017365671062896
164,164,225000,2,Detached,1,0,51.3292777441471,-2.8680602733060496,0.0034493904648480365
165,165,245000,4,Detached,1,0,51.3273490526284,-2.86865534948904,0.00264741920295553
166,166,198000,2,Terraced,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
167,167,515000,5,Detached,1,0,51.33448261352321,-2.8898196741531605,0.005427112200137611
168,168,297950,3,Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
169,169,184950,2,Semi-Detached,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
170,170,181000,2,Semi-Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
171,171,165000,2,Terraced,1,0,51.3285062141906,-2.86539044894498,0.005874737061264953
172,172,220500,2,Detached,1,0,51.3273490526284,-2.86865534948904,0.00264741920295553
173,173,184950,2,Semi-Detached,1,0,51.3286644772258,-2.87795209978514,0.006754409042084554
174,174,120000,3,Semi-Detached,1,0,51.328186022087706,-2.87459879931112,0.003370935655109992
175,175,190000,2,Semi-Detached,1,0,51.3289828056299,-2.87986711282754,0.008693301247623457
176,176,157000,2,Terraced,1,0,51.3288872492327,-2.870048,0.0015239950170170997
177,177,225000,2,Detached,1,0,51.3292777441471,-2.8680602733060496,0.0034493904648480365
178,178,119000,1,Terraced,0,0,51.328120902709706,-2.8639909924532403,0.0053759737465320645
179,179,172500,2,Semi-Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
180,180,215000,3,Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
181,181,350000,5,Terraced,1,0,51.327087345588595,-2.873616290049529,0.002525266545531633
182,182,415000,5,Detached,1,0,51.3365029881614,-2.86377536844988,0.005264433263945144
183,183,410000,4,Detached,1,0,51.328584671275905,-2.8596221271373703,0.0011961515455533576
184,184,169000,2,Semi-Detached,1,0,51.32856063984701,-2.8738021749943594,0.0026402730821393906
185,185,295000,3,Detached,1,0,51.332194799197,-2.8724071821494706,0.0011700100649584134
186,186,162500,4,Semi-Detached,1,0,51.33192968640621,-2.86328749686282,0.00467767649364269
187,187,213000,4,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
188,188,205000,2,Detached,1,0,51.32763956798039,-2.868963,0.002293291687786614
189,189,165000,2,Semi-Detached,1,0,51.3289828056299,-2.87986711282754,0.008693301247623457
190,190,245000,2,Terraced,1,0,51.326552439409284,-2.8669467457547904,0.004413105826731844
191,191,255000,3,Detached,1,0,51.3273490526284,-2.86865534948904,0.00264741920295553
192,192,320000,3,Detached,1,0,51.332194799197,-2.8724071821494706,0.0011700100649584134
193,193,61000,1,Terraced,1,0,51.328120902709706,-2.8639909924532403,0.0053759737465320645
194,194,305000,4,Terraced,1,0,51.3271929351157,-2.86545183526869,0.00583274529011563
195,195,182000,2,Semi-Detached,1,0,51.3278678934239,-2.87625763793483,0.005020798664948146
196,196,252100,4,Semi-Detached,1,0,51.3328707882009,-2.87580757923436,0.004617746223151827
197,197,440000,5,Semi-Detached,1,0,51.323195,-2.8880553756538,0.007241790401456344
198,198,155000,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
199,199,212000,3,Semi-Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
200,200,222000,4,Semi-Detached,1,0,51.32856063984701,-2.8738021749943594,0.0026402730821393906
201,201,200000,2,Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
202,202,160000,2,Semi-Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
203,203,265000,2,Detached,1,0,51.329924,-2.8708,0.0020372179220649834
204,204,340000,4,Detached,1,0,51.3268386592168,-2.8768121036693706,0.005681464049620623
205,205,290000,3,Detached,1,0,51.329670562010705,-2.87327786100527,0.00267931071337059
206,206,300000,2,Detached,1,0,51.3340254299158,-2.87651859978008,0.005299270333735365
207,207,310000,3,Detached,1,0,51.329924,-2.8708,0.0020372179220649834
208,208,89950,1,Flat,0,0,51.3272344000256,-2.87198292059829,0.001022640739008355
209,209,517500,4,Detached,1,0,51.326716972893,-2.8617113135428305,0.0033167419478475108
210,210,260000,3,Detached,1,0,51.326262,-2.862636,0.004085762330010905
211,211,175500,2,Semi-Detached,1,0,51.328754347258304,-2.8755568991475404,0.004396778556773242
212,212,168500,2,Semi-Detached,1,0,51.3278678934239,-2.87625763793483,0.005020798664948146
