,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude
32,1050000,6,Semi-Detached,1,0,51.37592283,-2.3708544590000002
33,475000,4,Flat,0,0,51.37630482,-2.36082913
34,263000,2,Semi-Detached,1,0,51.37437203,-2.391486956
35,345000,3,Terraced,1,0,51.39789994,-2.301562
36,800000,5,Terraced,1,0,51.40495463,-2.323072457
37,250000,2,Terraced,1,0,51.37262474,-2.373097655
38,415000,2,Terraced,1,0,51.37432074,-2.3479265590000002
39,285000,2,Flat,0,0,51.40348311,-2.373435126
40,267500,3,Terraced,1,0,51.35520356,-2.374420826
41,750000,3,Terraced,1,0,51.39377341,-2.37019399
42,235000,5,Terraced,1,0,51.3755989,-2.373754002
43,524000,4,Terraced,1,0,51.39958037,-2.398113361
44,250000,2,Terraced,1,0,51.38105327,-2.380451234
45,290000,2,Terraced,1,0,51.37869267,-2.353275926
46,329000,2,Flat,0,0,51.38192166,-2.346935285
47,575000,3,Semi-Detached,1,0,51.36067609,-2.343270194
48,235000,2,Terraced,1,0,51.40019717,-2.354462303
49,550000,3,Detached,1,0,51.39485813,-2.341686385
50,200000,2,Flat,0,0,51.3975856,-2.3950487369999998
51,186500,3,Semi-Detached,1,0,51.37872232,-2.405202549
52,296000,3,Semi-Detached,0,0,51.39314939,-2.396030961
53,320000,3,Semi-Detached,1,0,51.36894436,-2.38506255
54,290000,2,Terraced,1,0,51.34920246,-2.364162714
55,332500,3,Terraced,0,0,51.38020819,-2.385904287
56,345000,5,Terraced,1,0,51.41088919,-2.316457216
57,419500,3,Detached,1,0,51.40025133,-2.339211
58,130000,1,Flat,0,0,51.38931678,-2.363417797
59,950000,5,Semi-Detached,1,0,51.38886,-2.380283379
60,740000,4,Terraced,1,0,51.37081803,-2.3643342830000003
61,240000,2,Semi-Detached,1,0,51.37529765,-2.4022557819999997
62,1270000,6,Detached,1,0,51.36976451,-2.3676874
63,370000,2,Terraced,1,0,51.37951507,-2.377866535
64,329000,3,Terraced,1,0,51.40003581,-2.3937186269999997
65,270000,2,Semi-Detached,1,0,51.37368163,-2.3962507580000003
66,247000,2,Terraced,1,0,51.38432238,-2.3978515430000003
67,385000,3,Terraced,0,0,51.38563393,-2.379253398
68,280000,2,Terraced,1,0,51.371462,-2.385515
69,418000,3,Terraced,1,0,51.39772198,-2.3972635209999997
70,325000,3,Terraced,1,0,51.3932757,-2.32243
71,170000,1,Flat,0,0,51.37973793,-2.3894349669999997
72,355000,3,Semi-Detached,1,0,51.36396805,-2.380754827
73,248750,3,Flat,0,0,51.39657604,-2.359536961
74,315000,3,Terraced,1,0,51.40820787,-2.317128804
